train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/std,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,train/n_updates,time/iterations
-0.0547445832133235,0.04929678,17.905000686645508,0.7566038370132446,311,0.12094535678625107,1000.0,50.1184003084898,722,225280,0.2,2e-05,4.159010853618383,0.4453857421875,1335.8152532999998,2180,110
-0.04902952431584708,0.056318898,15.293164253234863,0.7014129161834717,332,0.1200980618596077,1000.0,46.108337461948395,739,245760,0.2,2e-05,4.2036941483616825,0.4469482421875,1448.3543825699996,2380,120
-0.05197866979287937,0.05490285,26.59315299987793,0.8236933350563049,351,0.11922923475503922,1000.0,48.44812969863415,757,266240,0.2,2e-05,4.247940269112587,0.4785400390625,1552.0894527499997,2580,130
-0.05228584219439654,0.061972752,32.35015106201172,0.7617042064666748,392,0.11807648092508316,1000.0,46.8699797719717,731,286720,0.2,2e-05,4.3041976749897,0.473046875,1656.824877,2780,140
-0.049588809992565076,0.05980636,18.477859497070312,0.7735770344734192,427,0.11717718094587326,1000.0,50.61628428697586,718,307200,0.2,2e-05,4.351839643716812,0.4850830078125,1726.3513331499998,2980,150
-0.04582790636559366,0.060073525,24.93857192993164,0.8090330362319946,458,0.11626213043928146,1000.0,47.0269789904356,714,327680,0.2,2e-05,4.3999361500144,0.478662109375,1796.1034016499998,3180,160
-0.048602272105927116,0.05694034,23.364192962646484,0.7794990539550781,479,0.11522698402404785,1000.0,49.655281701684,726,348160,0.2,2e-05,4.454100415855646,0.47470703125,1882.15725412,3380,170
-0.04679658074455802,0.063004196,31.672937393188477,0.735158383846283,502,0.11421266943216324,1000.0,51.90970439016819,734,368640,0.2,2e-05,4.507631830126047,0.4823486328125,1953.2718057999998,3580,180
-0.04323301391341374,0.05635032,29.282033920288086,0.7042586803436279,544,0.11358336359262466,1000.0,50.73347412645817,714,389120,0.2,2e-05,4.542007291316986,0.4806396484375,2023.5971714899997,3780,190
-0.04420990102225915,0.064170524,21.152280807495117,0.746620774269104,583,0.11280076950788498,1000.0,46.98829221725464,702,409600,0.2,2e-05,4.58019133657217,0.5083984375,2092.1595856199997,3980,200
