train/clip_range,time/time_elapsed,time/total_timesteps,train/value_loss,time/iterations,time/fps,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/explained_variance,rollout/ep_rew_mean
0.2,284,245760,64.69494951367378,240,864,0.526416015625,4780,1000.0,2e-05,-0.07569620183494408,0.07237619,4.262142966687679,21.69643211364746,0.11890444159507751,0.6141605377197266,785.3933846299999
0.2,295,256000,311.34728441238406,250,867,0.347314453125,4980,1000.0,2e-05,-0.06608388385939179,0.043933976,4.289149606227875,127.84246826171875,0.11836528778076172,-2.0605387687683105,770.0284936400001
0.2,306,266240,55.657110357284544,260,870,0.584033203125,5180,1000.0,2e-05,-0.06950964196003043,0.09879129,4.314351217448712,22.45969581604004,0.11790233105421066,0.49979400634765625,774.9151995600001
0.2,316,276480,69.95975898504257,270,872,0.541455078125,5380,1000.0,2e-05,-0.07712844970228616,0.09594774,4.331666094064713,28.183704376220703,0.11758271604776382,0.9357957243919373,770.9193715900001
0.2,327,286720,79.90294349193573,280,875,0.475830078125,5580,1000.0,2e-05,-0.07636833275610115,0.0681212,4.34981030523777,29.36328125,0.1171688511967659,0.9413148760795593,743.9262053099999
0.2,338,296960,59.27572988271713,290,877,0.54326171875,5780,1000.0,2e-05,-0.07499885259603616,0.08639027,4.375206707417965,20.828466415405273,0.11665880680084229,0.5722203254699707,768.0131945100001
0.2,349,307200,74.3165239930153,300,880,0.524267578125,5980,1000.0,2e-05,-0.07216277457482648,0.06783376,4.418771849572659,31.057588577270508,0.11586020141839981,0.6402003765106201,796.3780984900001
0.2,359,317440,42.35503636598587,310,882,0.590673828125,6180,1000.0,2e-05,-0.07030747629905817,0.09580985,4.452978399395943,18.702987670898438,0.11517525464296341,0.5886346697807312,801.6501944699999
0.2,370,327680,87.23626174926758,320,884,0.49541015625,6380,1000.0,2e-05,-0.06506141339050373,0.07581814,4.477888870239258,41.17324447631836,0.11469954252243042,0.958385169506073,801.7468508100002
0.2,381,337920,135.49517409801484,330,886,0.50966796875,6580,1000.0,2e-05,-0.06845281779533252,0.08782761,4.51282670199871,40.28742599487305,0.11405318975448608,0.9455528259277344,754.3756259900001
0.2,391,348160,83.57074332237244,340,888,0.45869140625,6780,1000.0,2e-05,-0.07482706036680611,0.07313095,4.5564197391271595,38.27277755737305,0.11317908763885498,0.9674190282821655,767.0389852200002
0.2,402,358400,82.22914273738861,350,890,0.5224609375,6980,1000.0,2e-05,-0.07253456004400505,0.07424422,4.577401983737945,39.63505172729492,0.11280248314142227,0.7253235578536987,798.8038198400001
0.2,413,368640,56.22923873662948,360,891,0.5646484375,7180,1000.0,2e-05,-0.06562280200014356,0.11564696,4.602723316848278,26.725011825561523,0.11232811212539673,0.715027928352356,795.23929648
0.2,424,378880,54.2059237241745,370,893,0.55322265625,7380,1000.0,2e-05,-0.06711551422340563,0.07633187,4.621426132321358,27.734338760375977,0.11199525743722916,0.6108180284500122,817.8791127700001
0.2,434,389120,99.11341478824616,380,894,0.489697265625,7580,1000.0,2e-05,-0.07131312221317784,0.07793779,4.648664164543152,50.13969802856445,0.1115327700972557,0.9678381681442261,868.8669779299998
0.2,445,399360,78.3742344379425,390,895,0.497509765625,7780,1000.0,2e-05,-0.06613117461674847,0.072017446,4.668437847495079,42.06346893310547,0.11114954203367233,0.9724703431129456,865.2987977099999
0.2,456,409600,59.834450936317445,400,897,0.56630859375,7980,1000.0,2e-05,-0.059617471389356066,0.08512932,4.698844031989575,38.51728820800781,0.11054433137178421,0.599410891532898,894.1482793800001
0.2,467,419840,102.36816070079803,410,898,0.4580078125,8180,1000.0,2e-05,-0.07063767767685931,0.05790311,4.720865648984909,36.161170959472656,0.1101517304778099,0.9731068015098572,901.3076041400001
0.2,478,430080,36.833684065937994,420,899,0.581787109375,8380,1000.0,2e-05,-0.057020438558538444,0.10281396,4.739420096576214,14.171867370605469,0.10983589291572571,0.3777731657028198,899.4312603600001
0.2,489,440320,46.432272201776506,430,900,0.573779296875,8580,1000.0,2e-05,-0.06340062186354771,0.08250874,4.773034057021141,18.8892822265625,0.10919502377510071,0.4609009623527527,940.5484369899999
0.2,499,450560,50.99472369551658,440,901,0.597998046875,8780,1000.0,2e-05,-0.05534458232868929,0.10562953,4.803873601555824,18.77402114868164,0.1086333617568016,0.6119182705879211,975.8521379200001
0.2,510,460800,47.303516793251035,450,902,0.587451171875,8980,1000.0,2e-05,-0.05771560416324064,0.096960105,4.8229587689042095,29.584749221801758,0.10831543803215027,0.5562018156051636,985.1491023599999
0.2,521,471040,52.350022500753404,460,903,0.55576171875,9180,1000.0,2e-05,-0.0729871466231998,0.08483634,4.843707439303398,28.75774574279785,0.10791551321744919,0.697454571723938,1016.65360482
0.2,532,481280,47.677771133184436,470,904,0.562841796875,9380,1000.0,2e-05,-0.06675551746448036,0.07925732,4.876634369790554,20.331912994384766,0.10734286159276962,0.6640075445175171,1013.94069549
0.2,543,491520,74.55553649663925,480,904,0.526611328125,9580,1000.0,2e-05,-0.07091387211694382,0.07594013,4.894463895261287,33.09346389770508,0.10705190151929855,0.8047571182250977,1020.6209231199998
0.2,554,501760,52.76982950568199,490,905,0.542138671875,9780,1000.0,2e-05,-0.06540070968912914,0.083400086,4.903693683445454,23.280418395996094,0.10682042688131332,0.7378543615341187,1033.53810106
0.2,564,512000,44.15460978746414,500,906,0.58583984375,9980,1000.0,2e-05,-0.06403681968804449,0.09591967,4.927698066830635,28.194162368774414,0.10640562325716019,0.5844079852104187,1036.8695497699998
